Anger_Index ,Anger_Middle,Anger_Ring
0.96,1.19,0.9
0.95,1.16,0.91
1.01,1.18,0.92
1.01,1.21,0.94
1.04,1.26,1
1.13,1.3,1.06
1.1,1.31,1.09
1.15,1.34,1.09
1.13,1.35,1.07
1.08,1.32,1.05
1.16,1.37,1.06
1.18,1.37,1.12
1.2,1.38,1.14
1.22,1.47,1.19
1.22,1.48,1.25
1.31,1.54,1.29
1.35,1.56,1.32
1.38,1.56,1.36
1.42,1.56,1.39
1.46,1.59,1.37
1.49,1.64,1.42
1.49,1.66,1.44
1.54,1.72,1.52
1.54,1.8,1.51
1.56,1.77,1.61
1.57,1.76,1.56
1.54,1.78,1.61
1.57,1.77,1.6
1.6,1.81,1.63
1.6,1.82,1.62
1.68,1.92,1.72
1.73,1.97,1.74
1.76,1.99,1.79
1.83,2.03,1.84
1.91,2.05,1.84
1.97,2.1,1.91
2.07,2.19,2.02
2.18,2.3,2.11
2.23,2.42,2.25
2.43,2.53,2.36
2.53,2.69,2.42
2.64,2.76,2.55
2.73,2.88,2.59
2.84,2.91,2.67
2.97,3.03,2.72
3.06,3.19,2.83
3.15,3.32,2.96
3.45,3.52,3.18
3.62,3.77,3.4
3.89,4,3.61
4.22,4.21,3.83
4.56,4.45,4.01
4.98,4.67,4.24
5.39,4.88,4.4
5.68,5.03,4.54
6.02,5.21,4.67
6.19,5.37,4.81
6.39,5.53,5.01
6.5,5.59,5.05
6.44,5.63,5.1
6.42,5.76,5.22
6.44,5.81,5.35
6.44,5.93,5.53
6.48,6.01,5.61
6.55,6.13,5.78
6.6,6.27,5.9
6.69,6.44,6.15
6.81,6.69,6.36
6.95,6.84,6.52
7.04,6.97,6.69
7.14,7.08,6.88
7.28,7.21,7.06
7.3,7.22,7.06
7.36,7.35,7.11
7.43,7.52,7.19
7.5,7.68,7.34
7.61,7.84,7.48
7.77,7.98,7.62
7.86,8.07,7.75
7.97,8.16,7.95
8.09,8.24,8.26
8.5,8.39,8.77
8.83,8.58,9.26
9.07,8.92,9.67
9.28,9.34,10.12
9.41,9.76,10.57
9.53,10.07,10.78
9.66,10.31,10.99
9.84,10.57,11.24
10.4,10.82,11.51
11.17,11.25,11.81
11.89,11.74,12.13
12.66,12.19,12.3
13.3,12.49,12.37
13.77,12.71,12.32
14.13,12.82,12.21
14.79,12.72,12.02
15.43,12.67,11.94
15.99,12.91,12
16.57,13.42,12.21
16.99,13.94,12.4
17.3,14.57,12.64
17.62,14.93,12.78
17.78,15.24,12.94
17.86,15.46,13
18,15.72,12.99
18.12,15.76,13.07
18.26,15.75,13.13
18.48,15.96,13.29
18.75,16.15,13.5
18.91,16.32,13.76
19.14,16.57,13.99
19.33,16.78,14.11
19.39,16.71,14.07
19.35,16.63,14.01
19.35,16.51,13.97
19.44,16.59,13.93
19.61,16.81,14.14
19.92,17.21,14.41
20.23,17.52,14.64
20.36,17.68,14.64
20.4,17.77,14.53
20.36,17.65,14.45
20.35,17.72,14.52
20.58,17.93,14.7
20.84,18.17,14.86
21.09,18.32,14.97
21.53,18.34,14.97
21.76,18.4,14.99
21.95,18.45,14.91
22.22,18.62,15.01
22.56,18.8,15.05
22.99,19.15,15.22
23.35,19.43,15.31
23.72,19.6,15.51
24.06,19.78,15.63
24.37,19.93,15.68
24.67,20.07,15.69
25.01,20.19,15.7
25.08,20.39,15.72
25.38,20.57,15.77
25.68,20.7,15.77
26.08,20.84,15.78
26.33,20.92,15.85
26.6,20.9,15.89
26.73,20.87,15.84
26.76,20.79,15.81
26.74,20.8,15.82
26.61,20.92,15.78
26.39,20.8,15.63
26.13,20.51,15.41
26.02,20.35,15.31
26.05,20.31,15.26
26.18,20.3,15.31
26.2,20.41,15.37
26.15,20.41,15.29
26.09,20.16,15.07
26.07,20.02,14.94
26.12,19.92,14.77
26.24,19.94,14.74
26.45,20.07,14.79
26.8,20.31,15.07
27.11,20.52,15.28
27.36,20.53,15.29
27.61,20.5,15.3
27.67,20.5,15.33
27.76,20.55,15.37
27.78,20.69,15.6
27.8,20.94,15.98
27.87,21.25,16.28
27.93,21.39,16.29
27.98,21.5,16.28
28.03,21.53,16.37
28.22,21.61,16.49
28.61,21.9,16.64
29.08,22.24,16.96
29.27,22.46,17.11
29.46,22.47,17.11
29.55,22.39,17.14
29.77,22.44,17.18
30.13,22.5,17.4
30.54,22.76,17.67
30.77,23.02,17.96
30.82,23.11,18
30.79,23.05,18.01
30.83,23.01,18
30.97,23,18.02
31.06,23.04,18.18
31.1,23.16,18.4
31.27,23.34,18.6
31.45,23.6,18.82
31.62,23.8,18.92
31.7,23.79,18.9
31.64,23.7,18.87
31.51,23.63,18.94
31.43,23.81,19.23
31.6,24.11,19.54
31.69,24.24,19.79
31.95,24.3,19.91
31.95,24.26,19.96
32,24.28,20.01
31.97,24.26,20.02
32.09,24.35,20.12
32.27,24.6,20.28
32.44,24.79,20.48
32.5,24.77,20.44
32.64,24.85,20.46
32.68,24.78,20.4
32.73,24.85,20.4
32.83,24.88,20.45
32.93,24.97,20.61
32.93,24.96,20.7
32.93,24.98,20.71
32.88,24.92,20.7
32.84,24.88,20.66
32.74,24.93,20.68
32.78,25.13,20.8
32.95,25.41,21.05
33,25.65,21.25
33.1,25.71,21.22
33.01,25.84,21.24
32.98,25.85,21.25
33.02,25.96,21.34
33.14,26.08,21.37
33.31,26.21,21.53
33.43,26.27,21.59
33.55,26.27,21.58
33.67,26.27,21.59
33.65,26.28,21.67
33.67,26.31,21.76
33.73,26.39,21.85
33.71,26.43,21.81
33.68,26.39,21.87
33.65,26.4,21.9
33.74,26.42,22.01
33.82,26.53,22.09
33.84,26.66,22.2
33.93,26.75,22.26
33.96,26.83,22.31
33.93,26.84,22.34
33.91,26.87,22.32
33.89,26.93,22.38
33.9,27,22.54
33.93,27.12,22.76
34,27.2,22.81
34.01,27.29,22.8
33.99,27.3,22.77
33.96,27.34,22.77
34.13,27.48,22.81
34.36,27.74,22.94
34.69,27.98,23.18
34.81,28.18,23.35
34.93,28.3,23.46
34.95,28.28,23.47
34.94,28.34,23.5
35.4,28.61,23.74
36.2,29.12,24.19
36.76,29.7,24.64
37.12,29.98,24.96
37.36,30.24,25.22
37.61,30.45,25.39
38.53,30.92,25.73
39.57,31.52,26.27
41.41,32.78,27.32
43.96,34.44,28.35
48.46,37.81,29.65
54.52,44.19,32.23
65.84,54.65,38.69
80.72,66.95,51.36
102.41,83.91,76.99
124.58,104.5,99.52
145.33,125.36,120.96
162.12,143.02,139.63
171,159.3,157.65
180.28,174.04,171.92
194.45,186.95,183.99
203.6,191.84,189.26
203.99,193.5,191.49
203.54,196.47,193.08
202.74,199.2,194.7
202.64,201.46,196.12
202.63,203.05,197.35
202.71,203.75,198.18
202.66,203.87,198.61
202.65,203.8,198.92
202.47,203.82,199.4
202.24,203.9,199.87
202,204.01,200.28
201.77,204.14,200.59
201.75,204.16,200.8
201.65,204.1,201.09
201.34,203.93,201.2
201.11,203.82,201.34
200.95,203.78,201.5
200.93,203.75,201.65
201.11,203.74,201.77
201.32,203.8,201.85
201.55,203.76,201.89
201.69,203.71,201.9
201.69,203.71,202.02
201.55,203.66,202.03
201.45,203.68,202.1
201.39,203.64,202.19
201.33,203.66,202.24
201.35,203.61,202.32
201.26,203.63,202.37
201.2,203.57,202.38
201.22,203.52,202.39
201.15,203.53,202.4
201.03,203.47,202.4
201.03,203.45,202.4
201.04,203.42,202.39
201.11,203.37,202.36
201.16,203.36,202.39
201.17,203.36,202.43
201.18,203.38,202.45
201.14,203.38,202.52
201.18,203.37,202.54
201.18,203.36,202.5
201.24,203.34,202.57
201.26,203.33,202.57
201.29,203.35,202.55
201.27,203.33,202.59
201.23,203.26,202.62
201.24,203.27,202.67
201.23,203.23,202.63
201.24,203.23,202.6
201.23,203.23,202.62
201.24,203.2,202.65
200.96,203.19,202.65
201.18,203.19,202.68
201.17,203.19,202.69
201.17,203.17,202.73
201.2,203.13,202.76
201.23,203.11,202.74
201.22,203.08,202.76
201.28,203.14,202.79
201.23,203.13,202.78
201.22,203.09,202.85
201.19,203.13,202.88
201.16,203.1,202.86
201.22,203.06,202.92
201.23,203.1,202.9
201.26,203.1,202.88
201.25,203.08,202.88
201.23,203.11,202.91
201.22,203.12,202.92
201.15,203.13,202.91
201.15,203.12,202.94
