Anger_Index ,Anger_Middle,Anger_Ring
1,1.26,0.84
0.98,1.29,0.83
0.98,1.26,0.88
0.98,1.3,0.88
1.01,1.38,0.9
1.08,1.42,0.97
1.13,1.48,0.99
1.15,1.54,1.08
1.14,1.55,1.12
1.17,1.61,1.19
1.16,1.64,1.2
1.23,1.64,1.2
1.2,1.62,1.17
1.25,1.67,1.18
1.27,1.7,1.24
1.33,1.75,1.31
1.35,1.81,1.33
1.41,1.89,1.44
1.43,2.04,1.49
1.57,2.1,1.6
1.71,2.31,1.77
1.8,2.46,1.97
2.02,2.79,2.19
2.3,3.22,2.57
2.67,3.79,3.06
3.21,4.73,3.83
3.78,5.9,4.64
4.72,7.32,5.54
5.96,8.89,6.64
7.42,10.71,8.04
8.82,12.48,9.65
10.29,14.84,11.59
11.78,17.64,13.71
13.3,20.88,16.18
15.02,25.47,19
17.22,30.02,22.08
19.56,34.17,25.27
22.16,38.34,29.61
24.47,42.15,36.69
26.87,45.62,43.65
29.35,49.76,48.33
31.83,54.6,52.4
34.64,58.93,56.07
37.69,62.58,59.34
40.79,65.81,62.51
43.72,69.19,65.88
47.01,73.26,69.91
50.79,77.64,73.94
54.64,82.12,77.91
58.18,86.27,81.57
61.7,89.76,84.89
65.26,93.7,88.13
69.37,98.02,91.68
74.01,101.86,95.29
78.56,105.59,98.75
82.76,108.97,102.23
86.38,112.6,105.67
89.95,115.88,109.22
93.46,119.16,112.77
96.74,122.06,115.64
99.88,124.5,118.61
103.26,127.62,121.19
106.35,130.28,124.35
109.63,133.19,127.58
113.11,136.47,130.67
116.67,139.15,134.17
120,142.56,137.01
123.63,145.61,140.06
127.43,148.09,142.68
131.17,150.59,145
134.85,152.88,147.54
138.18,154.99,149.55
141.78,157.12,151.96
145.54,159.31,153.93
149.14,162.06,156.26
152.06,163.83,157.78
154.49,165.58,159.62
156.64,167.24,161.35
158.45,168.86,163.26
160.03,171.07,164.91
161.65,172.64,166.64
162.8,174.22,168.11
163.8,175.22,169.09
164.71,176.42,170.06
165.24,177.08,170.7
165.69,177.92,171.66
165.97,178.36,172.31
166.31,178.98,172.86
166.59,179.35,173.57
166.86,179.66,174
167.13,179.97,174.33
167.33,180.33,174.67
166.92,180.23,174.6
166.62,180.02,174.69
166.37,179.94,174.42
165.9,179.58,174.11
165.49,179.22,173.68
165.08,178.67,173.29
164.76,178.17,172.79
164.44,177.82,172.42
164.17,177.54,172.01
163.91,177.26,171.86
163.59,177.04,171.6
163.37,176.74,171.3
163.21,176.47,171.03
163.02,176.23,170.7
162.87,176.05,170.57
162.66,176.06,170.44
162.71,176.13,170.51
162.61,176.25,170.59
162.58,176.28,170.55
162.55,176.27,170.55
162.56,176.42,170.68
162.69,176.57,170.85
162.8,176.73,170.97
162.87,176.99,171.23
162.99,177.17,171.51
163.14,177.41,171.79
163.26,177.39,172.04
163.38,177.86,172.31
163.65,178.08,172.6
163.77,178.45,173.13
163.93,178.74,173.48
164.12,178.95,173.7
164.28,179.13,173.87
164.45,179.32,174.14
164.6,179.52,174.4
164.91,179.74,174.71
165.07,180.08,175.17
165.31,180.34,175.5
165.48,180.58,175.93
165.7,180.87,176.24
165.82,181.16,176.54
166.13,181.37,176.87
166.02,181.37,176.7
165.65,181.03,176.27
165.2,180.65,175.72
164.52,180.29,175.27
163.9,180.04,174.97
163.52,179.84,174.64
163.21,179.58,174.27
162.89,179.36,174.07
162.51,179.16,173.85
162.2,178.88,173.59
161.84,178.65,173.42
161.67,178.54,173.27
161.42,178.43,173.22
161.29,178.43,173.22
161.32,178.56,173.24
161.42,178.7,173.46
161.7,178.9,173.69
161.93,179.14,173.82
162.2,179.33,174.07
162.56,179.55,174.3
162.86,179.84,174.62
163.3,180.1,175.14
163.76,180.38,175.65
164.27,180.69,176.11
164.83,180.96,176.51
165.24,181.21,176.84
165.53,181.35,177.06
165.79,181.56,177.35
165.54,181.28,176.96
165.19,180.74,176.34
164.77,180.3,175.7
164.48,179.91,175.19
164.36,179.76,174.91
164.42,179.68,174.82
164.38,179.71,174.91
164.31,179.61,174.78
164.31,179.53,174.73
164.26,179.54,174.72
164.39,179.61,174.9
164.68,179.9,175.21
165,180.35,175.79
165.57,180.99,176.69
165.4,181.06,176.8
164.85,180.87,176.39
164.39,180.56,175.99
163.98,180.22,175.47
163.5,179.77,174.91
162.82,179.22,174.15
162.17,178.73,173.63
161.5,178.34,173.36
160.99,178.08,173.13
160.61,177.98,173.05
160.4,177.92,172.9
160.24,177.82,172.8
160.09,177.62,172.67
159.93,177.51,172.63
159.81,177.55,172.6
159.66,177.59,172.72
159.79,177.74,172.79
159.9,177.92,173.03
160.21,178.19,173.25
160.48,178.46,173.54
160.88,178.73,173.78
161.19,179.03,174.09
161.48,179.36,174.45
161.98,179.74,174.83
162.49,180.14,175.53
163.15,180.61,176.24
163.82,181.02,176.79
164.49,181.39,177.32
164.84,181.69,177.82
164.94,181.64,177.78
164.41,181.06,176.86
163.85,180.56,176.12
163.43,180.16,175.54
162.9,179.6,174.92
162.42,179.09,174.27
162.01,178.55,173.66
161.82,178.34,173.36
161.72,178.16,173.35
161.5,177.98,173.09
161.34,177.85,173.07
161.32,177.87,173.03
161.36,177.85,173.03
161.39,177.94,173.14
161.49,177.98,173.23
161.43,178.11,173.34
161.66,178.26,173.54
161.95,178.44,173.76
162.43,178.64,173.96
162.96,179.05,174.28
161.29,178.99,173.86
157.32,174.9,169.79
148.48,166.19,161.58
135.88,153.49,148.42
120.37,136.99,132.54
101.58,117.92,116.21
83.29,99.27,101.39
66.11,81.88,87.83
50.97,65.1,75.74
38.16,50.71,64.01
29.26,39.59,54.28
23.17,31.7,46.16
18.13,25.82,39.35
13.88,19.94,33.79
10.04,15.14,28.74
7.21,10.19,25.36
4.95,7.3,22.03
3,5.24,19.25
1.47,3.92,17.42
0.34,2.51,15.67
-0.85,1.34,14.23
-1.84,0.4,13.26
-2.68,-0.37,12.39
-3.27,-0.96,11.84
-3.92,-1.34,11.4
-4.39,-1.74,10.98
-4.82,-2.03,10.75
-5.29,-2.19,10.61
-5.4,-2.24,10.42
-5.53,-2.33,10.23
-5.74,-2.43,10.14
-5.7,-2.39,10.06
-5.72,-2.47,10.03
-5.87,-2.48,10.11
-5.85,-2.35,10.26
-5.73,-2.05,10.38
-5.67,-1.73,10.5
-5.56,-1.65,10.4
-5.55,-1.69,10.35
-5.56,-1.7,10.27
-5.58,-1.73,10.26
-5.49,-1.56,10.3
-5.37,-1.41,10.46
-5.25,-1.18,10.55
-5.02,-0.98,10.63
-4.91,-0.82,10.64
-4.9,-0.71,10.71
-4.88,-0.69,10.61
-4.82,-0.65,10.64
-4.82,-0.5,10.71
-4.72,-0.25,10.83
-4.48,0.04,10.89
-4.4,0.15,10.92
-4.36,0.11,10.91
-4.35,0.19,10.97
-4.3,0.29,11.01
-4.26,0.42,11.13
-4.14,0.68,11.32
-3.96,2.48,13.59
-3.85,2.6,13.59
-3.75,2.7,13.6
-3.74,2.64,13.57
-3.73,2.67,13.63
-3.77,2.78,13.7
-3.63,2.91,13.82
-3.46,3.24,13.93
-3.4,3.31,13.92
-3.25,3.37,13.93
-3.19,3.29,13.81
-3.21,3.24,13.77
-3.19,3.22,13.73
-3.14,3.35,13.78
-2.99,3.5,13.83
-2.84,3.64,13.93
-2.66,3.7,13.99
-2.6,3.78,14.04
-2.48,3.78,14.09
-2.52,3.85,14.13
-2.37,3.89,14.19
-2.23,4.03,14.26
-2.15,4.15,14.4
-1.96,4.28,14.52
-1.88,4.38,14.63
-1.76,4.48,14.73
-1.63,4.62,14.85
-1.43,4.92,15.02
-1.16,5.31,15.31
-0.88,5.9,15.76
-0.44,6.73,16.26
-0.14,7.31,16.65
0.22,7.81,17.06
0.56,8.52,17.65
1.02,9.49,18.48
1.63,11.07,19.66
2.86,13.21,21.13
4.17,15.76,22.91
5.76,18.36,24.87
7.2,20.81,26.51
8.4,22.95,27.73
9.77,25.38,29.29
11.76,28.72,31.64
14.53,32.91,34.25
17.91,36.78,36.65
20.99,40.01,39.83
23.24,42.67,44.07
25.49,44.96,47.55
27.98,47.27,50.69
31.43,50.02,54.14
35.23,52.57,57.32
38.74,55.59,59.81
41.44,58.06,62.16
43.79,60.35,65.01
46.31,63.25,67.89
49.28,66.95,70.52
52.92,71.34,73.86
57.53,75.88,77.41
63.04,80.38,81.14
67.82,83.73,84.06
71.93,86.84,86.66
75.58,91.2,90.45
