Index finger,Middle finger,Ring  finger
12.36,17.07,17.99
12.63,17.56,18.57
12.93,18.05,19.07
13.24,18.76,19.75
13.6,19.44,20.38
13.95,20.15,21.03
14.31,20.91,21.83
14.75,21.65,22.54
15.36,22.12,22.96
15.7,22.36,23.17
16.02,22.55,23.43
16.26,22.77,23.77
16.69,23.2,24.32
17.15,23.63,24.9
17.61,24.04,25.57
18.15,24.54,26.24
18.63,25.02,26.93
18.93,25.35,27.32
19.14,25.7,27.68
19.48,26.16,28.11
19.97,26.62,28.55
20.51,27.02,28.92
21.12,27.38,29.25
21.84,27.86,29.6
22.68,28.33,29.95
23.35,28.79,30.23
23.97,29.31,30.64
24.57,29.86,30.94
25.24,30.4,31.19
25.83,31.02,31.48
26.43,31.74,31.84
27.07,32.48,32.2
27.54,33.19,32.56
28.03,33.93,32.92
28.62,34.64,33.29
29.43,35.25,33.58
30.27,35.71,33.73
31.23,36.31,33.93
32.12,37.03,34.28
33.03,37.77,34.79
33.75,38.64,35.41
34.45,39.41,35.95
35.09,40.07,36.39
35.76,40.6,36.76
36.32,41.09,37.17
36.81,41.6,37.54
37.38,42.16,38.13
37.98,42.75,38.7
38.47,43.24,39.33
39.1,43.76,40.06
39.76,44.42,40.82
40.54,44.97,41.64
41.24,45.27,42.01
41.6,45.25,42.14
41.67,45.24,42.12
41.77,45.28,42.28
41.98,45.4,42.52
42.35,45.61,42.94
42.77,45.95,43.42
43.22,46.33,43.94
43.74,46.77,44.51
44.14,47.03,44.89
44.36,46.97,44.96
44.5,46.94,44.9
44.63,46.9,44.87
44.75,46.95,45.01
44.86,47.09,45.2
44.96,47.18,45.4
45.11,47.33,45.58
45.2,47.43,45.82
45.31,47.57,45.96
45.35,47.57,45.97
45.29,47.46,45.85
45.17,47.37,45.81
45.09,47.28,45.76
45.07,47.24,45.72
45,47.2,45.75
44.99,47.2,45.72
44.97,47.28,45.84
44.98,47.32,46
45.1,47.44,46.2
45.28,47.6,46.36
45.43,47.75,46.35
45.54,47.78,46.43
45.64,47.86,46.44
45.78,47.95,46.54
46.01,48.17,46.73
46.29,48.44,46.84
46.48,48.59,47.01
46.6,48.73,47.13
46.77,48.88,47.32
47,49.18,47.6
47.33,49.47,47.92
47.58,49.71,47.99
47.71,49.82,48.08
47.82,49.81,48.1
47.86,49.86,48.06
47.87,49.88,48.01
47.83,49.87,47.97
47.82,49.9,47.96
47.83,49.98,48.01
47.93,50.14,48.18
48.27,50.5,48.42
47.35,50.85,48.69
47.73,51.19,48.93
48.17,51.56,49.15
48.43,51.85,49.32
48.82,52.11,49.54
49.06,52.29,49.7
49.27,52.45,49.92
49.53,52.68,50.1
50.02,53.1,50.47
50.73,53.58,50.95
51.48,54.09,51.49
52.01,54.6,51.91
52,54.96,52.3
52.14,55.13,52.45
52.23,55.24,52.48
52.26,55.22,52.45
52.45,55.24,52.46
52.77,55.35,52.55
53.22,55.43,52.63
53.6,55.55,52.72
53.84,55.59,52.82
53.95,55.67,52.92
54,55.7,52.93
53.93,55.73,52.97
53.74,55.66,52.95
53.4,55.55,52.95
53.09,55.51,52.91
53.01,55.49,53
53.06,55.55,53.04
53.15,55.65,53.15
53.3,55.68,53.19
53.4,55.79,53.29
53.53,55.85,53.34
53.52,55.81,53.31
53.39,55.76,53.28
53.23,55.69,53.25
53.01,55.6,53.25
52.72,55.54,53.25
52.74,55.59,53.31
52.86,55.68,53.37
53.04,55.77,53.51
53.19,55.87,53.63
53.28,55.97,53.75
53.41,56.02,53.78
53.4,56,53.81
53.35,55.95,53.74
53.27,55.89,53.7
53.25,55.87,53.62
53.29,55.85,53.67
